conv_num,shape,time
0,3,0.000000
1,1,0.000000
2,5,0.000000
3,0,0.000000
0,3,4.000000
1,1,4.000000
2,5,6.666667
0,3,8.000000
1,6,8.000000
3,0,10.000000
0,7,12.000000
1,6,12.000000
2,5,13.333333
0,7,16.000000
1,6,16.000000
