order_id,conv_num,cirle,pentagon,trapezoid,triangle,star,moon,heart,cross
12,1,0,0,2,0,0,1,0,0
13,0,2,1,0,0,0,0,2,0
2,0,0,3,1,2,0,0,0,0
4,3,0,0,0,3,0,0,0,0
11,2,0,0,1,0,0,0,0,0
3,2,1,0,1,0,0,0,0,0
5,0,0,2,0,1,0,0,0,0
8,0,0,0,2,0,0,2,1,0
10,1,1,0,0,3,0,0,0,0
9,0,3,0,0,3,0,0,0,0
0,1,0,0,0,0,2,0,0,0
7,2,0,3,1,0,0,0,0,0
1,0,3,0,0,0,0,1,0,0
6,1,0,0,0,1,0,2,1,0
